t Fq h
8.556757 0.651917 0.050000 
8.571672 0.651431 0.050000 
8.586587 0.650946 0.050000 
8.601502 0.650460 0.050000 
8.616416 0.649975 0.050000 
8.631331 0.649491 0.050000 
8.646246 0.649007 0.050000 
8.661161 0.648523 0.050000 
8.676076 0.648039 0.050000 
8.690991 0.647556 0.050000 
8.705906 0.647074 0.050000 
8.720821 0.646591 0.050000 
8.735736 0.646109 0.050000 
8.750651 0.645628 0.050000 
8.765566 0.645146 0.050000 
8.780480 0.644665 0.050000 
8.795395 0.644185 0.050000 
8.810310 0.643704 0.050000 
8.825225 0.643225 0.050000 
8.840140 0.642745 0.050000 
8.855055 0.642266 0.050000 
8.869970 0.641787 0.050000 
8.884885 0.641309 0.050000 
8.899800 0.640831 0.050000 
8.914715 0.640353 0.050000 
8.929630 0.639876 0.050000 
8.944545 0.639399 0.050000 
8.959459 0.638922 0.050000 
8.974374 0.638446 0.050000 
8.989289 0.637970 0.050000 
9.004204 0.637494 0.050000 
9.019119 0.637019 0.050000 
9.034034 0.636544 0.050000 
9.048949 0.636069 0.050000 
9.063864 0.635595 0.050000 
9.078779 0.635122 0.050000 
9.093694 0.634648 0.050000 
9.108609 0.634175 0.050000 
9.123524 0.633702 0.050000 
9.138438 0.633230 0.050000 
9.153353 0.632758 0.050000 
9.168268 0.632286 0.050000 
9.183183 0.631815 0.050000 
9.198098 0.631344 0.050000 
9.213013 0.630873 0.050000 
9.227928 0.630403 0.050000 
9.242843 0.629933 0.050000 
9.257758 0.629463 0.050000 
9.272673 0.628994 0.050000 
9.287588 0.628525 0.050000 
9.302503 0.628057 0.050000 
9.317417 0.627588 0.050000 
9.332332 0.627120 0.050000 
9.347247 0.626653 0.050000 
9.362162 0.626186 0.050000 
9.377077 0.625719 0.050000 
9.391992 0.625253 0.050000 
9.406907 0.624786 0.050000 
9.421822 0.624321 0.050000 
9.436737 0.623855 0.050000 
9.451652 0.623390 0.050000 
9.466567 0.622926 0.050000 
9.481481 0.622461 0.050000 
9.496396 0.621997 0.050000 
9.511311 0.621533 0.050000 
9.526226 0.621070 0.050000 
9.541141 0.620607 0.050000 
9.556056 0.620144 0.050000 
9.570971 0.619682 0.050000 
9.585886 0.619220 0.050000 
9.600801 0.618759 0.050000 
9.615716 0.618297 0.050000 
9.630631 0.617836 0.050000 
9.645546 0.617376 0.050000 
9.660460 0.616916 0.050000 
9.675375 0.616456 0.050000 
9.690290 0.615996 0.050000 
9.705205 0.615537 0.050000 
9.720120 0.615078 0.050000 
9.735035 0.614620 0.050000 
9.749950 0.614161 0.050000 
9.764865 0.613704 0.050000 
9.779780 0.613246 0.050000 
9.794695 0.612789 0.050000 
9.809610 0.612332 0.050000 
9.824525 0.611876 0.050000 
9.839439 0.611420 0.050000 
9.854354 0.610964 0.050000 
9.869269 0.610508 0.050000 
9.884184 0.610053 0.050000 
9.899099 0.609598 0.050000 
9.914014 0.609144 0.050000 
9.928929 0.608690 0.050000 
9.943844 0.608236 0.050000 
9.958759 0.607783 0.050000 
9.973674 0.607330 0.050000 
9.988589 0.606877 0.050000 
10.003504 0.606424 0.050000 
10.018418 0.605972 0.050000 
10.033333 0.605521 0.050000 
10.048248 0.605069 0.050000 
10.063163 0.604618 0.050000 
10.078078 0.604167 0.050000 
10.092993 0.603717 0.050000 
10.107908 0.603267 0.050000 
10.122823 0.602817 0.050000 
10.137738 0.602368 0.050000 
10.152653 0.601919 0.050000 
10.167568 0.601470 0.050000 
10.182482 0.601022 0.050000 
10.197397 0.600574 0.050000 
10.212312 0.600126 0.050000 
10.227227 0.599679 0.050000 
10.242142 0.599232 0.050000 
10.257057 0.598785 0.050000 
10.271972 0.598339 0.050000 
10.286887 0.597892 0.050000 
10.301802 0.597447 0.050000 
10.316717 0.597001 0.050000 
10.331632 0.596556 0.050000 
10.346547 0.596112 0.050000 
10.361461 0.595667 0.050000 
10.376376 0.595223 0.050000 
10.391291 0.594779 0.050000 
10.406206 0.594336 0.050000 
10.421121 0.593893 0.050000 
10.436036 0.593450 0.050000 
10.450951 0.593008 0.050000 
10.465866 0.592566 0.050000 
10.480781 0.592124 0.050000 
10.495696 0.591683 0.050000 
10.510611 0.591242 0.050000 
10.525526 0.590801 0.050000 
10.540440 0.590360 0.050000 
10.555355 0.589920 0.050000 
